DATE,TIME,SPO2,PULSE
2023-04-29, 15:38:03, 127, 255
2023-04-29, 15:38:04, 127, 255
2023-04-29, 15:38:05, 127, 255
2023-04-29, 15:38:06, 127, 255
2023-04-29, 15:38:07, 127, 255
2023-04-29, 15:38:08, 127, 255
2023-04-29, 15:38:09, 127, 255
2023-04-29, 15:38:10, 127, 255
2023-04-29, 15:38:11, 127, 255
2023-04-29, 15:38:12, 127, 255
2023-04-29, 15:38:13, 127, 255
2023-04-29, 15:38:14, 127, 255
2023-04-29, 15:38:15, 127, 255
2023-04-29, 15:38:16, 127, 255
2023-04-29, 15:38:17, 127, 255
2023-04-29, 15:38:18, 127, 255
2023-04-29, 15:38:19, 127, 255
2023-04-29, 15:38:20, 127, 255
2023-04-29, 15:38:21, 127, 255
2023-04-29, 15:38:22, 127, 255
2023-04-29, 15:38:23, 127, 255
2023-04-29, 15:38:24, 127, 255
2023-04-29, 15:38:25, 127, 255
2023-04-29, 15:38:26, 127, 255
2023-04-29, 15:38:27, 127, 255
2023-04-29, 15:38:28, 127, 255
2023-04-29, 15:38:29, 127, 255
2023-04-29, 15:38:30, 127, 255
2023-04-29, 15:38:31, 97, 87
2023-04-29, 15:38:32, 97, 87
2023-04-29, 15:38:33, 97, 87
2023-04-29, 15:38:34, 97, 86
2023-04-29, 15:38:35, 97, 86
2023-04-29, 15:38:36, 97, 86
2023-04-29, 15:38:37, 97, 86
2023-04-29, 15:38:38, 98, 86
2023-04-29, 15:38:39, 98, 86
2023-04-29, 15:38:40, 127, 255
2023-04-29, 15:38:41, 127, 255
2023-04-29, 15:38:42, 127, 255
2023-04-29, 15:38:43, 127, 255
2023-04-29, 15:38:44, 127, 255
2023-04-29, 15:38:45, 127, 255
2023-04-29, 15:38:46, 127, 255
2023-04-29, 15:38:47, 127, 255
2023-04-29, 15:38:48, 127, 255
2023-04-29, 15:38:49, 127, 255
2023-04-29, 15:38:50, 127, 255
2023-04-29, 15:38:51, 127, 255
2023-04-29, 15:38:52, 127, 255
2023-04-29, 15:38:53, 127, 255
2023-04-29, 15:38:54, 127, 255
2023-04-29, 15:38:55, 127, 255
2023-04-29, 15:38:56, 127, 255
2023-04-29, 15:38:57, 127, 255
2023-04-29, 15:38:58, 127, 255
2023-04-29, 15:38:59, 127, 255
2023-04-29, 15:39:00, 127, 255
2023-04-29, 15:39:01, 127, 255
2023-04-29, 15:39:02, 127, 255
2023-04-29, 15:39:03, 127, 255
2023-04-29, 15:39:04, 127, 255
2023-04-29, 15:39:05, 127, 255
2023-04-29, 15:39:06, 96, 90
2023-04-29, 15:39:07, 96, 90
2023-04-29, 15:39:08, 96, 90
2023-04-29, 15:39:09, 96, 90
2023-04-29, 15:39:10, 96, 90
2023-04-29, 15:39:11, 96, 90
2023-04-29, 15:39:12, 96, 90
2023-04-29, 15:39:13, 96, 90
2023-04-29, 15:39:14, 96, 90
2023-04-29, 15:39:15, 96, 90
2023-04-29, 15:39:16, 97, 90
2023-04-29, 15:39:17, 97, 90
2023-04-29, 15:39:18, 97, 90
2023-04-29, 15:39:19, 97, 90
2023-04-29, 15:39:20, 97, 90
2023-04-29, 15:39:21, 97, 90
2023-04-29, 15:39:22, 97, 90
2023-04-29, 15:39:23, 97, 90
2023-04-29, 15:39:24, 97, 90
2023-04-29, 15:39:25, 97, 90
2023-04-29, 15:39:26, 97, 90
2023-04-29, 15:39:27, 98, 90
2023-04-29, 15:39:28, 98, 90
2023-04-29, 15:39:29, 98, 90
2023-04-29, 15:39:30, 98, 90
2023-04-29, 15:39:31, 98, 90
2023-04-29, 15:39:32, 98, 90
2023-04-29, 15:39:33, 98, 90
2023-04-29, 15:39:34, 98, 90
2023-04-29, 15:39:35, 97, 90
2023-04-29, 15:39:36, 97, 90
2023-04-29, 15:39:37, 97, 90
2023-04-29, 15:39:38, 97, 90
2023-04-29, 15:39:39, 97, 89
2023-04-29, 15:39:40, 97, 89
2023-04-29, 15:39:41, 97, 88
2023-04-29, 15:39:42, 97, 88
2023-04-29, 15:39:43, 97, 87
2023-04-29, 15:39:44, 97, 87
2023-04-29, 15:39:45, 97, 87
