DATE,TIME,SPO2,PULSE
2023-04-29, 15:42:47, 127, 255
2023-04-29, 15:42:48, 127, 255
2023-04-29, 15:42:49, 127, 255
2023-04-29, 15:42:50, 127, 255
2023-04-29, 15:42:51, 127, 255
2023-04-29, 15:42:52, 127, 255
2023-04-29, 15:42:53, 127, 255
2023-04-29, 15:42:54, 127, 255
2023-04-29, 15:42:55, 127, 255
2023-04-29, 15:42:56, 127, 255
2023-04-29, 15:42:57, 127, 255
2023-04-29, 15:42:58, 127, 255
2023-04-29, 15:42:59, 127, 255
2023-04-29, 15:43:00, 127, 255
2023-04-29, 15:43:01, 127, 255
2023-04-29, 15:43:02, 127, 255
2023-04-29, 15:43:03, 127, 255
2023-04-29, 15:43:04, 127, 255
2023-04-29, 15:43:05, 127, 255
2023-04-29, 15:43:06, 127, 255
2023-04-29, 15:43:07, 127, 255
2023-04-29, 15:43:08, 127, 255
2023-04-29, 15:43:09, 127, 255
2023-04-29, 15:43:10, 127, 255
2023-04-29, 15:43:11, 127, 255
2023-04-29, 15:43:12, 127, 255
2023-04-29, 15:43:13, 127, 255
2023-04-29, 15:43:14, 127, 255
2023-04-29, 15:43:15, 127, 255
2023-04-29, 15:43:16, 127, 255
2023-04-29, 15:43:17, 127, 255
2023-04-29, 15:43:18, 127, 255
2023-04-29, 15:43:19, 127, 255
2023-04-29, 15:43:20, 127, 255
2023-04-29, 15:43:21, 127, 255
2023-04-29, 15:43:22, 127, 255
2023-04-29, 15:43:23, 127, 255
2023-04-29, 15:43:24, 96, 86
2023-04-29, 15:43:25, 96, 87
2023-04-29, 15:43:26, 96, 87
2023-04-29, 15:43:27, 96, 87
2023-04-29, 15:43:28, 96, 88
2023-04-29, 15:43:29, 96, 89
2023-04-29, 15:43:30, 96, 89
2023-04-29, 15:43:31, 96, 89
2023-04-29, 15:43:32, 96, 89
2023-04-29, 15:43:33, 96, 90
2023-04-29, 15:43:34, 96, 91
2023-04-29, 15:43:35, 97, 91
2023-04-29, 15:43:36, 97, 91
2023-04-29, 15:43:37, 97, 91
2023-04-29, 15:43:38, 97, 91
2023-04-29, 15:43:39, 97, 91
2023-04-29, 15:43:40, 97, 91
2023-04-29, 15:43:41, 97, 91
2023-04-29, 15:43:42, 97, 91
2023-04-29, 15:43:43, 97, 91
2023-04-29, 15:43:44, 97, 91
2023-04-29, 15:43:45, 97, 91
2023-04-29, 15:43:46, 97, 91
2023-04-29, 15:43:47, 97, 91
2023-04-29, 15:43:48, 97, 91
2023-04-29, 15:43:49, 97, 90
2023-04-29, 15:43:50, 97, 88
2023-04-29, 15:43:51, 97, 86
2023-04-29, 15:43:52, 97, 85
2023-04-29, 15:43:53, 97, 83
2023-04-29, 15:43:54, 97, 82
2023-04-29, 15:43:55, 97, 81
2023-04-29, 15:43:56, 97, 81
2023-04-29, 15:43:57, 96, 82
2023-04-29, 15:43:58, 96, 82
2023-04-29, 15:43:59, 96, 82
2023-04-29, 15:44:00, 96, 82
2023-04-29, 15:44:01, 96, 83
2023-04-29, 15:44:02, 96, 83
2023-04-29, 15:44:03, 96, 83
2023-04-29, 15:44:04, 96, 84
2023-04-29, 15:44:05, 96, 84
2023-04-29, 15:44:06, 96, 85
2023-04-29, 15:44:07, 96, 84
2023-04-29, 15:44:08, 96, 85
2023-04-29, 15:44:09, 96, 85
2023-04-29, 15:44:10, 96, 85
2023-04-29, 15:44:11, 96, 85
2023-04-29, 15:44:12, 96, 85
2023-04-29, 15:44:13, 96, 85
2023-04-29, 15:44:14, 96, 84
2023-04-29, 15:44:15, 96, 84
2023-04-29, 15:44:16, 96, 84
2023-04-29, 15:44:17, 96, 83
2023-04-29, 15:44:18, 96, 83
2023-04-29, 15:44:19, 96, 83
2023-04-29, 15:44:20, 96, 83
2023-04-29, 15:44:21, 96, 83
2023-04-29, 15:44:22, 96, 83
2023-04-29, 15:44:23, 96, 83
2023-04-29, 15:44:24, 96, 82
2023-04-29, 15:44:25, 96, 82
2023-04-29, 15:44:26, 96, 82
2023-04-29, 15:44:27, 96, 82
2023-04-29, 15:44:28, 96, 82
2023-04-29, 15:44:29, 96, 82
2023-04-29, 15:44:30, 96, 82
2023-04-29, 15:44:31, 96, 82
2023-04-29, 15:44:32, 96, 83
2023-04-29, 15:44:33, 96, 84
2023-04-29, 15:44:34, 96, 86
2023-04-29, 15:44:35, 96, 86
2023-04-29, 15:44:36, 96, 90
